District,Local Level Name,Total family number,Total household number,Total population,Total Male,Total Female
Sankhuwasabha,Chainpur Municipality,6690,6201,27078,13210,13868
Sankhuwasabha,Chichila Rural Municipality,1672,1583,6720,3351,3369
Sankhuwasabha,Dharmadevi Municipality,4071,3906,16300,7890,8410
Sankhuwasabha,Khandbari Municipality,9333,8151,36102,17967,18135
Sankhuwasabha,Madi Municipality,3288,3169,13428,6584,6844
Sankhuwasabha,Makalu Rural Municipality,3485,3309,13492,6920,6572
Sankhuwasabha,Panchakhapan Municipality,4010,3897,16391,8060,8331
Sankhuwasabha,Sabhapokhari Rural Municipality,2533,2362,10005,5012,4993
Sankhuwasabha,Silichong Rural Municipality,2501,2427,10432,5223,5209
Bhojpur,Aamchowk Rural Municipality,3566,3472,15237,7517,7720
Bhojpur,Arun Rural Municipality,3582,3487,14853,7247,7606
Bhojpur,Bhojpur Municipality,6775,6078,26126,12676,13450
Bhojpur,Hatuwagadhi Rural Municipality,4040,3987,16302,8030,8272
Bhojpur,Pauwadungma Rural Municipality,2933,2866,12170,5851,6319
Bhojpur,Ramprasad Rai Rural Municipality,3700,3627,15632,7741,7891
Bhojpur,Salpasilichho Rural Municipality,3019,2972,12229,6008,6221
Bhojpur,Shadananda Municipality,7450,7139,29777,14681,15096
Bhojpur,Temkemaiyung Rural Municipality,3855,3773,15491,7611,7880
Solukhumbu,Thulung Dudhkoshi Rural Municipality,4672,4568,18459,9225,9234
Solukhumbu,Maapya Dudhkoshi Rural Municipality,3142,3102,12746,6422,6324
Solukhumbu,Khumbupasanglahmu Rural Municipality,2611,2341,9226,4737,4489
Solukhumbu,Likhupike Rural Municipality,1255,1255,5264,2588,2676
Solukhumbu,Mahakulung Rural Municipality,2909,2885,11971,5921,6050
Solukhumbu,Nechasalyan Rural Municipality,2662,2631,10828,5325,5503
Solukhumbu,Solududhakunda Municipality,6830,6335,27013,13700,13313
Solukhumbu,Sotang Rural Municipality,2321,2271,9261,4711,4550
Okhaldhunga,Champadevi Rural Municipality,4040,3977,16528,8146,8382
Okhaldhunga,Chisankhugadhi Rural Municipality,3346,3321,13761,6711,7050
Okhaldhunga,Khijidemba Rural Municipality,3496,3461,15867,7926,7941
Okhaldhunga,Likhu Rural Municipality,3189,3125,11930,5912,6018
Okhaldhunga,Manebhanjyang Rural Municipality,4855,4795,19883,9626,10257
Okhaldhunga,Molung Rural Municipality,4173,4116,16944,8464,8480
Okhaldhunga,Siddhicharan Municipality,7173,6957,27977,13554,14423
Okhaldhunga,Sunkoshi Rural Municipality,4417,4359,18024,8983,9041
Khotang,Ainselukhark Rural Municipality,3506,3421,13581,6713,6868
Khotang,Barahapokhari Rural Municipality,2591,2540,11461,5713,5748
Khotang,Diprung Chuichumma Rural Municipality,3848,3780,16549,8139,8410
Khotang,Halesi Tuwachung Municipality,6149,5948,27274,13434,13840
Khotang,Jantedhunga Rural Municipality,2765,2713,12066,5934,6132
Khotang,Kepilasagadhi Rural Municipality,3346,3237,13339,6583,6756
Khotang,Khotehang Rural Municipality,4149,4056,16952,8417,8535
Khotang,Rawa Besi Rural Municipality,2724,2646,11218,5424,5794
Khotang,Diktel Rupakot Majhuwagadhi Municipality,10719,9775,43295,21345,21950
Khotang,Sakela Rural Municipality,2307,2276,9605,4819,4786
